DEST_COUNTRY_NAME,ORIGIN_COUNTRY_NAME,count
United States,Croatia,1
United States,Ireland,252
Egypt,United States,13
United States,India,62
United States,Singapore,25
United States,Grenada,46
Costa Rica,United States,522
Senegal,United States,31
Guyana,United States,65
United States,Marshall Islands,30
United States,Sint Maarten,245
Bolivia,United States,35
Anguilla,United States,19
United States,Paraguay,5
United States,Afghanistan,5
Turks and Caicos Islands,United States,183
Saint Vincent and the Grenadines,United States,6
Italy,United States,381
Pakistan,United States,12
United States,Russia,148
United States,Federated States of Micronesia,63
United States,Netherlands,607
Iceland,United States,137
Marshall Islands,United States,60
United States,Togo,1
Luxembourg,United States,111
Honduras,United States,413
The Bahamas,United States,975
El Salvador,United States,539
United States,Senegal,33
United States,Solomon Islands,1
United States,Angola,12
Samoa,United States,25
Kazakhstan,United States,1
Switzerland,United States,285
United States,Anguilla,19
Sint Maarten,United States,243
Hong Kong,United States,296
Trinidad and Tobago,United States,216
Latvia,United States,13
United States,Ecuador,321
Suriname,United States,14
Mexico,United States,5983
Ecuador,United States,239
United States,Portugal,111
United States,Costa Rica,555
United States,Guatemala,345
United States,Suriname,26
Colombia,United States,759
United States,The Gambia,1
United States,Cape Verde,18
United States,Jamaica,610
Norway,United States,31
The Gambia,United States,2
United States,Morocco,16
Thailand,United States,6
Venezuela,United States,389
United States,Samoa,25
United States,Palau,35
United States,Venezuela,360
Panama,United States,394
United States,Chile,201
United States,Finland,21
Antigua and Barbuda,United States,145
Morocco,United States,15
United States,Greece,21
United States,The Bahamas,1054
New Zealand,United States,92
United States,Hong Kong,331
Hungary,United States,2
United States,Tunisia,1
United States,China,610
Sweden,United States,50
United States,Kuwait,28
United States,Dominican Republic,1123
United States,Egypt,12
Israel,United States,117
United States,United States,347452
United States,Luxembourg,123
Ethiopia,United States,12
United States,Poland,40
Martinique,United States,17
United States,Saint Barthelemy,49
Saint Barthelemy,United States,49
Barbados,United States,121
United States,Azerbaijan,1
United States,Turkey,89
Germany,United States,1404
Kyrgyzstan,United States,1
United States,South Korea,703
United States,El Salvador,465
Ireland,United States,255
United States,Panama,393
United States,Ethiopia,12
United States,Thailand,6
United States,Aruba,332
United States,Turks and Caicos Islands,183
Croatia,United States,1
United States,Pakistan,16
United States,Honduras,372
Qatar,United States,56
Fiji,United States,28
Saint Kitts and Nevis,United States,109
Taiwan,United States,229
Haiti,United States,224
Kuwait,United States,26
Canada,United States,8034
Belarus,United States,1
Federated States of Micronesia,United States,54
Jamaica,United States,617
Dominican Republic,United States,1078
Japan,United States,1538
United States,Saint Vincent and the Grenadines,11
Finland,United States,22
United States,Ukraine,13
United States,Guadeloupe,34
United States,France,840
United States,Norway,33
Aruba,United States,349
French Guiana,United States,8
United States,Kiribati,26
India,United States,61
British Virgin Islands,United States,83
Brazil,United States,979
United States,Germany,1413
United States,New Zealand,65
United States,Cambodia,1
French Polynesia,United States,39
United Arab Emirates,United States,188
Singapore,United States,26
United States,Mexico,5974
Netherlands,United States,640
United States,Sweden,54
United States,Martinique,17
United States,United Arab Emirates,176
China,United States,509
United States,Philippines,112
Denmark,United States,83
United States,Nicaragua,183
Oman,United States,1
United States,Belgium,275
Argentina,United States,208
Peru,United States,249
Cayman Islands,United States,258
South Africa,United States,24
United States,Argentina,170
United States,Iceland,150
Cameroon,United States,1
Spain,United States,390
Bermuda,United States,190
United States,Austria,31
United States,Nigeria,44
United States,"Bonaire, Sint Eustatius, and Saba",44
Kiribati,United States,26
Saudi Arabia,United States,72
Czech Republic,United States,15
Macau,United States,1
United States,Bahrain,2
Belgium,United States,352
United States,Israel,117
United States,Saint Lucia,84
Sierra Leone,United States,1
Afghanistan,United States,5
United States,British Virgin Islands,78
Curacao,United States,107
Georgia,United States,2
United States,Guyana,79
Philippines,United States,136
United States,Denmark,82
Grenada,United States,51
Cape Verde,United States,19
Ukraine,United States,14
United States,Papua New Guinea,2
Russia,United States,183
United States,Saudi Arabia,70
Guatemala,United States,413
Saint Lucia,United States,81
Paraguay,United States,85
United States,Curacao,96
United States,Taiwan,214
Tunisia,United States,2
United States,South Africa,29
Turkey,United States,94
United Kingdom,United States,1852
Solomon Islands,United States,2
United States,Greenland,1
United States,Spain,393
United States,Italy,377
Cuba,United States,340
United States,Switzerland,282
Dominica,United States,26
United States,Japan,1451
Portugal,United States,112
Bahrain,United States,65
United States,Brazil,567
United States,Peru,292
Vietnam,United States,2
United States,United Kingdom,1713
United States,Belize,108
Belize,United States,113
United States,Ghana,31
Mauritania,United States,1
United States,Fiji,26
United States,Canada,8097
United States,French Polynesia,38
United States,Antigua and Barbuda,146
Nicaragua,United States,174
United States,Latvia,14
United States,Dominica,25
United States,Czech Republic,13
United States,Australia,211
United States,Cook Islands,12
Austria,United States,34
Jordan,United States,41
Palau,United States,35
United States,Equatorial Guinea,4
South Korea,United States,819
Angola,United States,12
Ghana,United States,30
New Caledonia,United States,1
Guadeloupe,United States,36
France,United States,818
Poland,United States,38
Nigeria,United States,57
United States,Uruguay,17
Greenland,United States,1
Chile,United States,178
United States,Bermuda,194
United States,Cuba,341
United States,Colombia,806
United States,Barbados,109
United States,Qatar,56
Australia,United States,277
United States,Cayman Islands,247
United States,Jordan,43
United States,Trinidad and Tobago,213
United States,Bolivia,21
Uruguay,United States,53
Cook Islands,United States,12
United States,Saint Kitts and Nevis,124
Bulgaria,United States,6
United States,French Guiana,1
United States,Haiti,234
"Bonaire, Sint Eustatius, and Saba",United States,46
Greece,United States,17
